Event_ID,Detected_At,Published_At,Source_Name,Source_Type,Source_URL,Headline,Event_Summary,Event_Category_Code,Direction,Magnitude,Persistence,Confidence,Classification_Evidence,Event_Centrality,Centrality_Evidence,Provider_Sentiment_Score,Provider_Relevance_Score,Provider_Topics,Relevance_Score,Monitor_Eligible,Gate_Reasons,Why_It_Matters,Confirmation_Watch,Event_Family,Event_Category_Name,Ticker,Asset_Class,Sector,Peer_Group,Exposure_Class,Exposure_Score,Exposure_Reason,Crosswalk_Match,Matched_37A_Terms,Driver_Match,Example_Asset_Match,Matched_Event_Drivers,Matched_Asset_Drivers,Evidence,Mapper_Version
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,AIQ,Equities,Technology,AI & Automation,Primary,100,Curated primary economic exposure,True,AI Investment,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,BOTZ,Equities,Technology,AI & Automation,Primary,100,Curated primary economic exposure,True,AI Investment,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,DRAM,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,SMH,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,SOXX,Equities,Technology,Semiconductors,Primary,100,Curated primary economic exposure,True,AI Investment,True,True,AI Infrastructure | Data Centers,AI Infrastructure Demand | Data Center Capital Expenditure,37A-to-37B crosswalk | Economic-driver text match | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,SRVR,Equities,Real Estate,Digital Infrastructure,Primary,100,Curated primary economic exposure,False,,True,True,AI Infrastructure | Data Centers,AI Infrastructure Buildout | Data Center Demand | Data Center Leasing | Digital Infrastructure Investment,Economic-driver text match | 37B example exposure,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,IGV,Equities,Technology,Software,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,SKYY,Equities,Technology,Cloud & Software,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
AV-f05e82a07263bb40,2026-09-26T16:27:48.615305+00:00,2026-09-26T15:22:39+00:00,Simply Wall Street,Financial News,https://simplywall.st/stocks/us/diversified-financials/nasdaq-agmh/agm-group-holdings/future,AGM Group Holdings (NasdaqCM:AGMH) Stock Forecast & Analyst Predictions,"AGM Group Holdings (AGMH) has announced commercialization plans for a desktop DePIN node developed with HashBeaver, focusing on volume production, sales channels, and AI service integration, alongside mass production of all-flash servers for the AI infrastructure market. The company recently regained Nasdaq compliance, but faces risks including substantial shareholder dilution, high stock volatility, and a small market capitalization. Financially, AGMH reported full-year 2025 earnings per share of US$0.33, down from US$7.03 in FY 2024, with revenue declining 4.6% to US$30.6 million.",AI_CAPEX,Negative,Medium,Long,0.85,AV topic:technology | ai infrastructure,0.3,lead:ai infrastructure,-0.2311,1.0,earnings | financial_markets | technology | mergers_and_acquisitions,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,XLK,Equities,Technology,Technology,Transmission,70,Defined financial transmission exposure,True,AI Investment,False,False,,,37A-to-37B crosswalk,1.2
AV-b203bcc381ee1cc1,2026-09-26T16:27:48.615305+00:00,2026-09-26T14:00:46+00:00,TradingView,Financial News,https://www.tradingview.com/news/seekingalpha:e1dba65c3094b:0-financials-slump-amid-sector-rotation-into-technology-wells-fargo-morgan-stanley-in-week-s-losers/,"Financials slump amid sector rotation into technology; Wells Fargo, Morgan Stanley in week's losers","Wall Street saw a significant sector rotation from financials into technology, driven by increased AI spending and capital markets activity. The State Street Technology Select Sector SPDR ETF (XLK) rose while the State Street Financial Sel Sec SPDR ETF (XLF) declined, partly due to fears of AI disruption from Meta's Muse. Wells Fargo and Morgan Stanley were among the biggest financial losers, while Citigroup saw gains, and several mid-cap and small-cap financial firms experienced notable shifts.",AI_CAPEX,Neutral,Medium,Long,0.85,AV topic:technology | ai spending,0.3,lead:ai spending,-0.1358,1.0,financial_markets | technology | finance,80.8,True,confidence 0.85 | event centrality 0.30 | 6 primary/3 transmission exposures,"AI infrastructure spending can support semiconductor, memory, cloud, power, and data-center investment demand.","Watch semiconductor/AI leadership, rotation readiness, MA structure, and whether mapped assets begin confirming together.",Technology,AI Capital Expenditure,AIQ,Equities,Technology,AI & Automation,Primary,100,Curated primary economic exposure,True,AI Investment,False,True,,,37A-to-37B crosswalk | 37B example exposure,1.2
